"Date","Price","Open","High","Low","Vol.","Change %"
"08/03/2024","1850.6","1854.4","1910","1840.8","6.64M","-0.37%"
"07/03/2024","1857.4","1790","1862.4","1786.1","10.87M","5.09%"
"06/03/2024","1767.4","1709.6","1781.6","1693.4","7.45M","3.73%"
"05/03/2024","1703.8","1685.2","1738.3","1657.6","9.60M","0.08%"
"04/03/2024","1702.4","1763","1763.4","1695.2","9.66M","-3.32%"
"01/03/2024","1760.8","1717.6","1796.6","1690.6","6.86M","3.52%"
"29/02/2024","1701","1730.6","1740.8","1698.4","8.15M","-0.53%"
"28/02/2024","1710","1750","1773","1702.4","3.36M","-2.97%"
"27/02/2024","1762.4","1754.6","1786.4","1750.4","3.01M","2.07%"
"26/02/2024","1726.6","1759","1764.4","1722.4","4.57M","-3.33%"
"23/02/2024","1786","1796","1822.2","1771","5.14M","0.92%"
"22/02/2024","1769.8","1802.2","1833.2","1733","4.71M","3.03%"
"21/02/2024","1717.8","1729.2","1750","1706.8","7.88M","-0.10%"
"20/02/2024","1719.6","1740","1788.8","1710","3.31M","-3.28%"
"19/02/2024","1778","1794","1813.2","1763.1","1.34M","-1.34%"
"16/02/2024","1802.2","1786","1841.2","1756.2","3.90M","1.99%"
"15/02/2024","1767","1742","1774.8","1728.6","2.44M","1.13%"
"14/02/2024","1747.2","1766.6","1766.6","1687.4","4.43M","-0.50%"
"13/02/2024","1756","1764","1780.7","1728.2","3.32M","0.25%"
"12/02/2024","1751.6","1710","1766.2","1692.2","1.85M","2.88%"
"09/02/2024","1702.6","1725.4","1740.1","1695","2.76M","-2.13%"
"08/02/2024","1739.6","1756.2","1798","1731","4.28M","-0.85%"
"07/02/2024","1754.6","1826.6","1835","1753.6","5.24M","-3.73%"
"06/02/2024","1822.6","1834.6","1853.6","1790.4","2.35M","0.70%"
"05/02/2024","1810","1813.4","1846.8","1790.8","2.46M","-1.39%"
"02/02/2024","1835.6","1883.8","1895.6","1824","1.77M","-2.29%"
"01/02/2024","1878.6","1864.4","1907.4","1856.6","3.41M","-0.95%"
"31/01/2024","1896.6","1905","1915.6","1870.6","2.97M","0.25%"
"30/01/2024","1891.8","1875","1920.4","1874","3.51M","-0.17%"
"29/01/2024","1895","1870","1900","1858.6","3.04M","0.36%"
"26/01/2024","1888.2","1836.2","1903","1814","5.05M","3.45%"
"25/01/2024","1825.2","1857","1872.2","1805.6","4.63M","-1.91%"
"24/01/2024","1860.8","1877.4","1892.6","1778.8","3.85M","3.98%"
"23/01/2024","1789.6","1786.4","1820.8","1773.6","3.23M","2.19%"
"22/01/2024","1751.2","1774.4","1787.4","1740.2","2.96M","-1.26%"
"19/01/2024","1773.6","1824","1825","1764.6","13.27M","-0.73%"
"18/01/2024","1786.6","1769","1805.3","1739.4","3.05M","2.09%"
"17/01/2024","1750","1803","1803","1728.6","3.97M","-2.35%"
"16/01/2024","1792.2","1835.8","1853.4","1790.8","3.89M","-1.79%"
"15/01/2024","1824.8","1846","1857.4","1806","2.61M","-1.16%"
"12/01/2024","1846.2","1847.6","1866.4","1828.6","5.21M","0.35%"
"11/01/2024","1839.8","1847.6","1885.8","1823.2","11.03M","0.91%"
"10/01/2024","1823.2","1816.6","1855.4","1804","3.70M","-0.03%"
"09/01/2024","1823.8","1846","1857.2","1811.4","26.26K","-1.25%"
"08/01/2024","1846.8","1850.6","1862.6","1817.6","9.47M","-1.28%"
"05/01/2024","1870.8","1860.6","1887.6","1843.4","5.39M","-0.13%"
"04/01/2024","1873.2","1875","1901.4","1857.6","6.24M","0.22%"
"03/01/2024","1869","1927","1980.2","1846.2","5.80M","-5.04%"
"02/01/2024","1968.2","1984","1994","1935","3.57M","-0.12%"
"29/12/2023","1970.6","1997","2011.5","1970.6","1.36M","-0.72%"
"28/12/2023","1984.8","1991","2004","1964.7","2.15M","0.46%"
"27/12/2023","1975.8","1962","2017","1920.2","3.15M","2.28%"
"22/12/2023","1931.8","1920.8","1952.4","1917.6","1.05M","0.41%"
"21/12/2023","1924","1899.2","1943","1887.8","3.36M","0.63%"
