"Date","Price","Open","High","Low","Vol.","Change %"
"11/03/2024","173.72","169.38","174.38","169.06","7.71M","0.86%"
"08/03/2024","172.24","174.10","174.28","168.18","59.14M","-0.47%"
"07/03/2024","173.06","171.20","173.44","170.26","111.72M","1.25%"
"06/03/2024","170.92","169.00","173.51","167.98","87.94M","0.86%"
"05/03/2024","169.46","168.24","171.18","167.42","55.76M","-0.40%"
"04/03/2024","170.14","168.32","170.46","167.28","73.81M","0.37%"
"01/03/2024","169.52","165.12","172.08","163.46","187.33M","3.08%"
"29/02/2024","164.46","162.34","169.92","162.18","110.80M","-2.63%"
"28/02/2024","168.90","166.18","169.90","165.18","56.18M","1.22%"
"27/02/2024","166.86","163.98","167.48","163.54","38.75M","0.62%"
"26/02/2024","165.84","161.94","167.14","161.94","59.51M","1.28%"
"23/02/2024","163.74","162.86","164.88","162.38","55.44M","0.04%"
"22/02/2024","163.68","161.78","164.32","159.06","53.76M","0.57%"
"21/02/2024","162.76","160.82","166.68","159.39","163.05M","0.59%"
"20/02/2024","161.80","157.54","162.98","149.76","143.88M","8.59%"
"19/02/2024","149.00","146.56","150.46","145.70","38.66M","1.55%"
"16/02/2024","146.72","144.84","148.02","142.54","38.09M","2.30%"
"15/02/2024","143.42","141.16","144.48","141.16","55.60M","0.99%"
"14/02/2024","142.02","140.48","143.20","140.48","17.01M","1.10%"
"13/02/2024","140.48","141.76","143.74","139.54","91.45M","-1.68%"
"12/02/2024","142.88","142.22","143.62","141.16","22.93M","0.42%"
"09/02/2024","142.28","143.84","144.40","141.10","28.84M","-0.61%"
"08/02/2024","143.16","145.36","146.02","143.04","21.76M","-0.86%"
"07/02/2024","144.40","145.42","147.24","143.04","77.27M","-1.30%"
"06/02/2024","146.30","147.20","147.88","144.80","48.84M","0.43%"
"05/02/2024","145.68","150.66","151.64","145.34","66.34M","-3.34%"
"02/02/2024","150.72","149.26","152.01","145.16","31.83M","3.20%"
"01/02/2024","146.04","146.44","149.38","145.14","30.61M","-1.60%"
"31/01/2024","148.42","150.90","151.80","148.42","67.09M","-1.22%"
"30/01/2024","150.26","148.60","150.62","146.64","21.20M","1.84%"
"29/01/2024","147.54","149.42","150.66","147.35","31.30M","-1.14%"
"26/01/2024","149.24","146.76","150.40","144.50","29.06M","2.66%"
"25/01/2024","145.38","146.96","147.58","145.00","47.52M","-1.33%"
"24/01/2024","147.34","148.38","149.64","145.88","84.85M","0.38%"
"23/01/2024","146.78","145.76","147.90","144.06","27.40M","1.27%"
"22/01/2024","144.94","144.06","145.64","140.18","36.26M","2.77%"
"19/01/2024","141.04","142.38","143.40","139.86","113.63M","0.23%"
"18/01/2024","140.72","139.82","142.44","139.42","42.77M","0.03%"
"17/01/2024","140.68","142.26","142.26","138.40","45.08M","-0.51%"
"16/01/2024","141.40","143.28","145.86","141.19","35.95M","-2.47%"
"15/01/2024","144.98","145.76","147.04","144.30","133.99M","-0.38%"
"12/01/2024","145.54","147.34","149.15","144.70","50.95M","-0.03%"
"11/01/2024","145.58","152.00","152.64","144.82","91.24M","-4.63%"
"10/01/2024","152.64","152.88","155.22","152.18","69.09M","-1.06%"
