"Date","Price","Open","High","Low","Vol.","Change %"
"08/03/2024","36.41","36.60","36.69","36.24","8.78M","-0.05%"
"07/03/2024","36.43","36.32","36.65","36.28","6.87M","0.03%"
"06/03/2024","36.42","36.44","36.64","36.33","12.09M","1.73%"
"05/03/2024","35.80","35.64","35.95","35.58","5.40M","0.36%"
"04/03/2024","35.67","36.00","36.03","35.61","7.02M","0.08%"
"01/03/2024","35.64","35.43","35.81","35.31","7.27M","1.86%"
"29/02/2024","34.99","35.07","35.19","34.87","9.30M","0.09%"
"28/02/2024","34.96","35.21","35.38","34.94","8.89M","-1.30%"
"27/02/2024","35.42","35.55","35.64","35.32","9.60M","0.28%"
"26/02/2024","35.32","35.38","35.54","35.22","4.85M","-0.17%"
"23/02/2024","35.38","35.23","35.46","35.04","6.72M","-0.31%"
"22/02/2024","35.49","35.52","35.67","35.22","5.01M","-0.59%"
"21/02/2024","35.70","35.41","35.77","35.28","5.42M","0.90%"
"20/02/2024","35.38","35.56","35.58","35.27","7.34M","-0.20%"
"16/02/2024","35.45","35.73","35.77","35.45","7.09M","-0.45%"
"15/02/2024","35.61","34.86","35.72","34.84","9.32M","-0.42%"
"14/02/2024","35.76","36.20","36.29","35.60","11.47M","-0.78%"
"13/02/2024","36.04","36.62","36.65","35.83","8.19M","-1.07%"
"12/02/2024","36.43","36.35","36.55","36.22","7.17M","0.19%"
"09/02/2024","36.36","36.47","36.67","36.23","9.58M","0.41%"
"08/02/2024","36.21","36.13","36.31","35.97","8.75M","0.11%"
"07/02/2024","36.17","36.18","36.35","35.90","10.95M","-0.60%"
"06/02/2024","36.39","35.76","36.53","35.74","19.74M","6.28%"
"05/02/2024","34.24","34.05","34.50","33.93","13.39M","-1.15%"
"02/02/2024","34.64","34.84","34.90","34.46","14.65M","-1.39%"
"01/02/2024","35.13","35.42","35.68","34.93","11.86M","0.09%"
"31/01/2024","35.10","35.61","35.71","35.08","9.11M","-2.20%"
"30/01/2024","35.89","35.50","35.92","35.28","8.05M","0.73%"
"29/01/2024","35.63","35.68","35.70","35.29","7.66M","0.00%"
"26/01/2024","35.63","35.43","35.64","35.10","8.55M","1.37%"
"25/01/2024","35.15","34.85","35.16","34.63","8.40M","1.71%"
"24/01/2024","34.56","34.47","34.62","34.40","8.80M","0.91%"
"23/01/2024","34.25","34.09","34.42","34.08","7.91M","0.00%"
"22/01/2024","34.25","34.00","34.36","33.62","11.61M","1.18%"
"19/01/2024","33.85","34.02","34.02","33.75","9.54M","-0.53%"
"18/01/2024","34.03","33.96","34.05","33.60","10.84M","0.38%"
"17/01/2024","33.90","33.77","34.15","33.52","9.21M","-1.11%"
"16/01/2024","34.28","34.60","34.61","34.08","10.75M","-1.66%"
"12/01/2024","34.86","35.11","35.20","34.71","9.36M","0.72%"
"11/01/2024","34.61","35.00","35.04","34.51","9.85M","-0.26%"
"10/01/2024","34.70","35.07","35.10","34.62","9.58M","-0.54%"
"09/01/2024","34.89","35.50","35.51","34.89","9.48M","-1.52%"
"08/01/2024","35.43","35.37","35.46","35.01","11.54M","-1.67%"
"05/01/2024","36.03","36.16","36.25","35.83","8.37M","0.76%"
"04/01/2024","35.76","36.44","36.48","35.73","6.81M","-0.67%"
"03/01/2024","36.00","35.57","36.18","35.44","7.76M","1.41%"
"02/01/2024","35.50","35.64","35.82","35.43","6.88M","0.28%"
"29/12/2023","35.40","35.38","35.51","35.28","3.69M","0.20%"
"28/12/2023","35.33","35.52","35.71","35.32","5.07M","-1.12%"
"27/12/2023","35.73","35.73","35.90","35.65","6.35M","0.17%"
"26/12/2023","35.67","35.51","35.89","35.45","4.92M","0.96%"
"22/12/2023","35.33","35.70","35.73","35.33","4.13M","-0.37%"
"21/12/2023","35.46","35.27","35.48","35.19","5.45M","1.26%"
"20/12/2023","35.02","35.37","35.52","34.97","9.17M","-1.07%"
"19/12/2023","35.40","35.25","35.49","35.10","7.44M","0.80%"
"18/12/2023","35.12","35.50","35.59","35.06","6.84M","0.89%"
"15/12/2023","34.81","35.24","35.31","34.76","10.29M","-2.77%"
"14/12/2023","35.80","35.69","35.93","35.56","8.65M","2.20%"
"13/12/2023","35.03","34.55","35.13","34.25","9.77M","0.78%"
"12/12/2023","34.76","34.81","34.85","34.55","6.35M","-1.05%"
"11/12/2023","35.13","35.15","35.38","35.00","6.55M","-0.48%"
"08/12/2023","35.30","35.08","35.40","35.02","8.23M","1.76%"
"07/12/2023","34.69","34.91","35.00","34.47","7.74M","-0.46%"
"06/12/2023","34.85","35.43","35.57","34.83","8.90M","-1.25%"
"05/12/2023","35.29","35.78","35.86","35.27","6.02M","-0.84%"
"04/12/2023","35.59","35.64","35.88","35.42","8.80M","-1.08%"
