"Date","Price","Open","High","Low","Vol.","Change %"
"08/03/2024","462.55","466.29","466.29","461.98","2.47M","-0.59%"
"07/03/2024","465.29","465.00","467.77","461.63","2.10M","0.36%"
"06/03/2024","463.61","458.98","465.11","458.98","1.82M","0.57%"
"05/03/2024","460.96","456.37","463.04","456.37","3.94M","1.18%"
"04/03/2024","455.60","449.21","456.66","448.73","1.98M","1.42%"
"01/03/2024","449.21","448.00","450.97","447.00","1.66M","0.09%"
"29/02/2024","448.82","452.65","453.11","445.10","3.68M","-0.53%"
"28/02/2024","451.20","444.11","451.73","443.52","1.52M","1.44%"
"27/02/2024","444.80","443.56","444.95","441.86","1.07M","-0.03%"
"26/02/2024","444.94","447.56","448.05","444.51","1.24M","-0.59%"
"23/02/2024","447.56","448.30","448.54","445.31","1.16M","0.12%"
"22/02/2024","447.03","441.77","447.83","438.73","1.38M","1.72%"
"21/02/2024","439.46","437.76","439.75","434.63","1.23M","0.80%"
"20/02/2024","435.96","435.59","439.40","434.19","1.84M","1.00%"
"16/02/2024","431.63","432.27","434.77","430.65","1.46M","0.69%"
"15/02/2024","428.69","420.25","429.24","419.69","1.68M","2.46%"
"14/02/2024","418.40","418.87","420.85","416.62","1.34M","0.52%"
"13/02/2024","416.25","418.92","419.71","414.22","1.31M","-0.80%"
"12/02/2024","419.61","420.36","420.98","418.12","1.17M","0.05%"
"09/02/2024","419.42","413.81","419.84","412.29","1.35M","1.31%"
"08/02/2024","414.00","419.30","419.30","413.36","1.48M","-0.68%"
"07/02/2024","416.83","419.07","423.97","415.30","1.96M","0.31%"
"06/02/2024","415.56","414.89","421.00","411.36","3.23M","3.73%"
"05/02/2024","400.63","396.84","401.98","396.07","3.36M","-1.59%"
"02/02/2024","407.09","407.02","408.93","404.24","2.22M","-0.38%"
"01/02/2024","408.65","408.27","410.00","405.31","1.75M","0.94%"
"31/01/2024","404.83","409.46","410.61","403.33","1.78M","-0.74%"
"30/01/2024","407.85","406.05","410.54","405.40","1.47M","0.55%"
"29/01/2024","405.61","404.78","405.87","402.26","1.39M","0.39%"
"26/01/2024","404.04","404.41","405.32","401.67","1.15M","0.14%"
"25/01/2024","403.47","400.72","403.60","400.40","1.55M","0.55%"
"24/01/2024","401.28","407.07","408.39","401.00","1.56M","-1.62%"
"23/01/2024","407.89","405.29","408.18","402.17","1.15M","0.35%"
"22/01/2024","406.47","401.88","407.32","401.41","1.67M","-0.22%"
"19/01/2024","407.38","407.12","408.00","404.26","2.27M","-0.12%"
"18/01/2024","407.85","407.06","408.38","403.74","1.23M","0.27%"
"17/01/2024","406.75","404.47","407.33","403.92","1.37M","0.02%"
"16/01/2024","406.65","407.48","410.61","406.00","1.46M","-0.56%"
"12/01/2024","408.92","408.74","409.56","405.50","849.17K","0.73%"
"11/01/2024","405.96","406.78","407.00","401.64","1.11M","0.02%"
"10/01/2024","405.88","404.43","406.08","404.01","1.17M","-0.20%"
"09/01/2024","406.69","407.48","407.78","404.43","1.26M","-0.39%"
"08/01/2024","408.29","407.86","409.99","404.36","1.14M","-0.20%"
"05/01/2024","409.12","409.05","410.49","406.25","1.40M","0.13%"
"04/01/2024","408.59","407.64","411.65","407.58","1.52M","-0.03%"
"03/01/2024","408.71","405.90","409.86","405.29","1.54M","-0.21%"
"02/01/2024","409.58","409.78","411.73","406.70","1.57M","-0.28%"
"29/12/2023","410.71","408.72","412.12","407.96","975.94K","0.23%"
"28/12/2023","409.77","410.53","410.90","409.20","814.25K","-0.35%"
"27/12/2023","411.21","408.00","411.35","408.00","848.54K","0.31%"
"26/12/2023","409.93","410.61","411.73","409.63","608.42K","-0.20%"
"22/12/2023","410.74","410.59","412.28","408.76","838.96K","0.39%"
"21/12/2023","409.13","408.02","409.40","406.61","1.36M","0.68%"
"20/12/2023","406.36","410.74","411.79","405.94","1.57M","-1.39%"
"19/12/2023","412.09","412.00","414.25","410.11","1.32M","0.73%"
"18/12/2023","409.10","411.90","412.99","407.77","1.72M","0.42%"
"15/12/2023","407.38","407.41","410.89","404.90","4.24M","-0.57%"
"14/12/2023","409.72","406.78","411.12","405.83","2.20M","0.24%"
"13/12/2023","408.74","405.94","414.17","404.67","3.31M","-4.21%"
"12/12/2023","426.72","425.69","434.21","420.30","6.72M","4.53%"
"11/12/2023","408.24","400.00","408.29","399.87","1.65M","1.74%"
"08/12/2023","401.27","398.00","401.60","397.46","1.48M","0.66%"
"07/12/2023","398.65","399.41","401.41","397.38","1.90M","-0.41%"
"06/12/2023","400.31","403.97","404.17","398.44","2.15M","-0.91%"
"05/12/2023","403.97","406.00","406.61","402.15","2.10M","-0.66%"
"04/12/2023","406.64","409.00","411.24","406.02","2.09M","-1.23%"
"01/12/2023","411.70","412.45","415.05","409.97","2.11M","-0.50%"
"30/11/2023","413.77","410.46","416.00","409.79","4.00M","0.58%"
"29/11/2023","411.39","412.57","415.29","410.95","1.41M","0.16%"
"28/11/2023","410.73","412.01","413.82","410.02","1.13M","-0.50%"
"27/11/2023","412.80","413.83","414.00","410.00","1.24M","-0.34%"
"24/11/2023","414.22","412.67","416.19","411.87","685.04K","0.63%"
"22/11/2023","411.62","410.74","412.51","408.11","1.11M","-0.07%"
"21/11/2023","411.91","411.04","414.97","409.41","1.23M","0.89%"
"20/11/2023","408.27","407.55","410.12","406.20","1.68M","0.10%"
"17/11/2023","407.88","411.08","411.08","406.50","1.54M","-0.12%"
"16/11/2023","408.39","403.18","408.96","402.32","1.21M","1.40%"
"15/11/2023","402.75","403.97","406.13","402.10","1.13M","-0.25%"
"14/11/2023","403.76","399.57","406.78","399.57","1.35M","1.00%"
"13/11/2023","399.75","396.36","401.95","395.00","1.39M","-0.02%"
"10/11/2023","399.84","391.51","400.37","391.51","1.38M","2.27%"
"09/11/2023","390.98","394.33","394.39","390.38","1.31M","-0.33%"
"08/11/2023","392.26","391.41","394.13","389.14","1.63M","0.76%"
"07/11/2023","389.30","389.96","390.95","385.12","2.65M","-0.94%"
"06/11/2023","393.00","392.55","393.53","390.24","1.46M","0.12%"
"03/11/2023","392.51","390.10","395.18","388.63","1.34M","0.73%"
"02/11/2023","389.66","387.47","391.71","387.44","1.59M","0.66%"
"01/11/2023","387.10","382.27","387.53","381.06","1.56M","1.29%"
"31/10/2023","382.16","378.21","384.07","376.70","2.02M","0.87%"
"30/10/2023","378.87","376.07","379.42","373.69","1.48M","2.25%"
"27/10/2023","370.53","367.86","376.56","367.86","1.95M","0.06%"
