"Date","Price","Open","High","Low","Vol.","Change %"
"11/03/2024","4,809.5","4,770.0","4,809.5","4,701.0","5.85M","-1.23%"
"08/03/2024","4,869.5","4,953.0","4,958.0","4,869.5","8.54M","-2.13%"
"07/03/2024","4,975.5","4,911.5","5,031.0","4,905.0","4.62M","-1.96%"
"06/03/2024","5,075.0","5,029.0","5,132.0","4,995.5","7.26M","0.97%"
"05/03/2024","5,026.0","5,074.0","5,159.1","5,001.0","3.72M","-1.26%"
"04/03/2024","5,090.0","5,117.0","5,123.3","5,062.0","2.15M","-0.72%"
"01/03/2024","5,127.0","5,109.0","5,141.0","5,048.0","1.94M","0.95%"
"29/02/2024","5,079.0","5,011.0","5,132.0","5,011.0","6.37M","0.73%"
"28/02/2024","5,042.0","5,088.0","5,143.0","5,029.8","2.48M","-1.37%"
"27/02/2024","5,112.0","5,154.0","5,189.0","5,036.0","2.12M","0.89%"
"26/02/2024","5,067.0","5,111.0","5,229.0","5,041.0","12.45M","-2.50%"
"23/02/2024","5,197.0","5,200.0","5,230.0","5,187.0","2.00M","0.52%"
"22/02/2024","5,170.0","5,240.0","5,275.0","5,120.0","2.28M","0.37%"
"21/02/2024","5,151.0","5,247.0","5,301.0","5,106.0","2.92M","-1.51%"
"20/02/2024","5,230.0","5,340.0","5,461.0","5,210.0","4.36M","-3.65%"
"19/02/2024","5,428.0","5,488.0","5,549.0","5,401.0","1.27M","-1.58%"
"16/02/2024","5,515.0","5,296.0","5,552.0","5,296.0","3.51M","3.51%"
"15/02/2024","5,328.0","5,307.0","5,349.0","5,277.0","1.33M","0.36%"
"14/02/2024","5,309.0","5,285.0","5,318.0","5,253.0","4.83M","0.44%"
"13/02/2024","5,286.0","5,397.0","5,415.0","5,285.2","1.88M","-1.29%"
"12/02/2024","5,355.0","5,341.0","5,390.1","5,311.0","3.05M","0.21%"
"09/02/2024","5,344.0","5,369.0","5,403.0","5,321.0","1.64M","-0.34%"
"08/02/2024","5,362.0","5,420.0","5,462.0","5,355.0","3.35M","-0.30%"
"07/02/2024","5,378.0","5,420.0","5,446.0","5,361.0","2.22M","-0.30%"
