"Date","Price","Open","High","Low","Vol.","Change %"
"08/03/2024","1,650.00","1,663.00","1,663.00","1,642.47","1.90M","-0.69%"
"07/03/2024","1,661.50","1,666.00","1,686.50","1,660.00","4.23M","-0.42%"
"06/03/2024","1,668.50","1,655.50","1,697.50","1,644.50","3.50M","0.60%"
"05/03/2024","1,658.50","1,625.00","1,663.50","1,621.50","2.56M","2.09%"
"04/03/2024","1,624.50","1,648.02","1,648.76","1,610.00","2.11M","-1.07%"
"01/03/2024","1,642.00","1,632.00","1,654.50","1,615.50","2.76M","1.02%"
"29/02/2024","1,625.50","1,618.00","1,643.50","1,585.72","6.20M","0.81%"
"28/02/2024","1,612.50","1,606.00","1,614.50","1,583.50","4.16M","1.16%"
"27/02/2024","1,594.00","1,559.50","1,594.32","1,550.50","3.46M","1.92%"
"26/02/2024","1,564.00","1,586.50","1,596.50","1,562.25","18.32M","-1.42%"
"23/02/2024","1,586.50","1,577.00","1,588.00","1,571.00","2.61M","0.54%"
"22/02/2024","1,578.00","1,609.50","1,628.00","1,568.00","6.33M","-1.96%"
"21/02/2024","1,609.50","1,603.50","1,612.00","1,599.50","10.20M","0.00%"
"20/02/2024","1,609.50","1,614.54","1,620.50","1,585.50","2.48M","0.72%"
"19/02/2024","1,598.00","1,609.50","1,622.20","1,585.50","4.37M","0.16%"
"16/02/2024","1,595.50","1,588.00","1,601.00","1,575.50","4.01M","0.63%"
"15/02/2024","1,585.50","1,575.50","1,601.70","1,560.50","3.23M","0.99%"
"14/02/2024","1,570.00","1,550.00","1,584.00","1,537.50","3.35M","1.49%"
"13/02/2024","1,547.00","1,554.50","1,582.50","1,543.50","2.05M","-1.09%"
"12/02/2024","1,564.00","1,547.50","1,573.50","1,547.50","5.12M","0.45%"
"09/02/2024","1,557.00","1,573.50","1,576.50","1,553.50","6.78M","-1.17%"
"08/02/2024","1,575.50","1,581.50","1,641.50","1,561.50","12.32M","-4.69%"
"07/02/2024","1,653.00","1,659.00","1,686.50","1,650.00","1.87M","-0.99%"
"06/02/2024","1,669.50","1,675.50","1,690.50","1,659.00","2.79M","-0.57%"
"05/02/2024","1,679.00","1,670.00","1,697.24","1,658.00","8.62M","0.63%"
"02/02/2024","1,668.50","1,679.50","1,691.50","1,657.00","2.99M","-0.12%"
"01/02/2024","1,670.50","1,671.50","1,684.50","1,659.00","5.90M","-0.86%"
"31/01/2024","1,685.00","1,661.50","1,690.00","1,659.50","2.95M","0.42%"
"30/01/2024","1,678.00","1,676.00","1,693.50","1,666.50","3.53M","0.21%"
"29/01/2024","1,674.50","1,687.50","1,710.00","1,658.33","6.30M","-1.38%"
"26/01/2024","1,698.00","1,728.50","1,758.00","1,697.86","5.28M","-2.36%"
"25/01/2024","1,739.00","1,738.50","1,750.50","1,728.00","1.64M","-0.06%"
"24/01/2024","1,740.00","1,747.50","1,759.50","1,729.00","4.72M","0.03%"
"23/01/2024","1,739.50","1,751.00","1,755.00","1,731.50","9.96M","-0.34%"
"22/01/2024","1,745.50","1,752.50","1,769.50","1,729.00","2.82M","-0.65%"
"19/01/2024","1,757.00","1,738.00","1,763.00","1,725.50","7.09M","1.21%"
"18/01/2024","1,736.00","1,750.50","1,750.50","1,714.50","3.07M","-0.23%"
"17/01/2024","1,740.00","1,739.50","1,777.50","1,721.00","7.31M","-1.50%"
"16/01/2024","1,766.50","1,783.00","1,800.50","1,757.00","6.92M","-1.29%"
"15/01/2024","1,789.50","1,800.00","1,811.00","1,775.50","2.76M","-0.33%"
"12/01/2024","1,795.50","1,794.00","1,826.50","1,780.00","5.22M","-0.53%"
"11/01/2024","1,805.00","1,852.00","1,853.00","1,800.00","2.68M","-3.11%"
"10/01/2024","1,863.00","1,868.50","1,895.00","1,862.00","1.70M","-1.09%"
"09/01/2024","1,883.50","1,862.50","1,883.50","1,847.00","2.35M","1.26%"
"08/01/2024","1,860.00","1,855.00","1,864.50","1,847.00","2.01M","0.11%"
"05/01/2024","1,858.00","1,837.50","1,862.50","1,830.50","2.57M","0.65%"
"04/01/2024","1,846.00","1,845.00","1,846.00","1,819.00","12.70M","0.87%"
"03/01/2024","1,830.00","1,838.00","1,850.50","1,814.50","15.64M","-0.44%"
"02/01/2024","1,838.00","1,866.00","1,867.50","1,828.00","10.76M","-0.97%"
"29/12/2023","1,856.00","1,868.00","1,869.50","1,856.00","559.60K","-0.03%"
"28/12/2023","1,856.50","1,854.00","1,861.50","1,845.00","7.25M","0.24%"
"27/12/2023","1,852.00","1,863.50","1,866.00","1,835.50","876.78K","0.00%"
"22/12/2023","1,852.00","1,844.00","1,856.00","1,843.00","2.10M","0.11%"
"21/12/2023","1,850.00","1,846.00","1,863.00","1,836.00","991.75K","-0.08%"
"20/12/2023","1,851.50","1,859.50","1,868.00","1,829.00","3.51M","0.60%"
"19/12/2023","1,840.50","1,853.50","1,865.00","1,834.50","2.66M","-0.38%"
"18/12/2023","1,847.50","1,850.00","1,884.50","1,846.00","1.85M","-1.36%"
"15/12/2023","1,873.00","1,895.50","1,907.50","1,854.50","10.34M","-1.21%"
"14/12/2023","1,896.00","1,858.50","1,932.50","1,858.50","3.44M","1.39%"
"13/12/2023","1,870.00","1,831.50","1,872.00","1,831.50","2.78M","1.33%"
"12/12/2023","1,845.50","1,850.00","1,864.00","1,838.50","3.07M","-0.24%"
"11/12/2023","1,850.00","1,877.00","1,884.50","1,830.00","2.30M","-1.73%"
"08/12/2023","1,882.50","1,855.00","1,883.50","1,847.00","2.45M","0.67%"
"07/12/2023","1,870.00","1,858.50","1,886.00","1,858.50","3.83M","0.00%"
"06/12/2023","1,870.00","1,879.00","1,888.50","1,855.50","3.31M","-0.13%"
"05/12/2023","1,872.50","1,838.50","1,872.59","1,829.00","3.04M","1.22%"
"04/12/2023","1,850.00","1,841.50","1,856.50","1,831.50","8.11M","0.27%"
"01/12/2023","1,845.00","1,830.00","1,845.50","1,826.50","1.59M","0.68%"
"30/11/2023","1,832.50","1,822.00","1,834.50","1,809.00","5.74M","0.11%"
"29/11/2023","1,830.50","1,827.00","1,834.50","1,818.00","1.69M","0.30%"
